GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	Z_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE	Z_ACE
Area Outside Region	1.45	1.79	0.0	0.0	1.44	0.0	0.0	1	0	0	0	1	0	0
Auckland Region	0.94	0.87	1.13	0.67	1.09	0.78	1.02	-704	-1533	17	7	800	-5	10
Bay of Plenty Region	1.11	0.97	1.0	0.51	1.39	1.01	1.53	-149	-394	0	0	222	21	2
Canterbury Region	0.93	0.86	1.57	0.68	1.23	0.95	1.4	-773	-1066	12	2	254	19	6
Gisborne Region	1.26	1.1	0.0	0.72	1.42	1.62	2.01	43	-21	0	0	59	3	1
Hawke's Bay Region	1.19	1.02	3.22	0.94	1.54	1.42	0.69	-16	-196	1	1	162	16	0
Manawatu-Wanganui Region	1.07	0.94	1.43	0.66	1.42	0.95	1.7	-63	-281	2	-1	206	9	3
Marlborough Region	1.1	1.01	2.49	0.66	1.59	0.92	0.0	-52	-78	0	1	26	2	-2
Nelson Region	0.95	0.87	3.56	0.58	1.36	0.87	3.61	-93	-119	0	0	23	1	2
Northland Region	1.23	1.03	1.36	2.0	1.57	0.99	1.39	-91	-236	0	2	138	2	3
Otago Region	0.8	0.77	0.83	0.53	1.01	0.72	0.7	-307	-385	2	1	67	8	1
Southland Region	1.05	0.97	1.45	0.69	1.45	0.91	1.7	-60	-123	1	1	57	3	1
Taranaki Region	1.14	1.02	1.36	0.93	1.56	1.3	2.19	6	-105	1	0	100	7	3
Tasman Region	1.01	0.96	0.0	1.68	1.38	1.26	0.0	-120	-134	0	1	12	1	0
Total - Regional Council Areas	0.99	0.89	1.27	0.69	1.22	0.83	1.12	-2911	-5955	56	16	2847	95	30
Waikato Region	1.09	0.96	1.49	0.92	1.38	0.93	1.34	-1	-434	9	0	398	19	6
Wellington Region	0.9	0.8	1.19	0.62	1.15	0.81	1.09	-485	-759	12	1	275	-13	0
West Coast Region	1.11	1.06	1.61	1.02	1.4	1.11	0.0	-44	-57	1	1	10	1	0
