ISO_A3	NIQ
ABW	82.0004817199707
AFG	73.165439453125
AGO	69.6938494873047
AIA	81.8430863952637
ALB	82.3010433959961
AND	97.0
ARE	87.3216732533773
ARG	88.5101250839233
ARM	89.4459725952148
ASM	83.4032294718425
ATF	80.2631154378255
ATG	76.1410712432861
AUS	99.2575720787048
AUT	98.9908759689331
AZE	85.9533912658691
BDI	76.7357583999634
BEL	98.9379667663574
BEN	73.7728883361816
BFA	72.816529897054
BGD	79.4502546183268
BGR	92.0655366007487
BHR	86.9237681918674
BHS	82.59
BIH	88.3139654710558
BLM	81.8430863952637
BLR	96.7888215128581
BLZ	72.9
BMU	90.62
BOL	84.7166666666667
BRA	84.6832483386993
BRB	83.45
BRN	84.790796508789
BTN	77.1229557800293
BWA	77.189936726888
CAF	67.7081748453776
CAN	100.269668254852
CCK	97.3008436505
CHE	99.9337888145447
CHL	88.9786849212646
CHN	101.0
CIV	72.7422991434733
CMR	69.1213538614909
COD	67.1566031901042
COG	72.5922613355849
COK	88.685
COL	82.3143304824829
COM	77.0087762451172
CPV	72.61
CRI	86.3439692815145
CUB	83.51
CUW	82.0004817199707
CXR	98.037183915774
CYM	78.0922993977865
CYP	93.3544496917725
CZE	98.6343943786621
DEU	98.955698890686
DJI	65.785
DMA	69.8463123575846
DNK	98.0617801920573
DOM	79.7909634399414
DZA	82.5331316121419
ECU	83.7804906039768
EGY	82.1994127782186
ERI	73.8766666666667
ESH	81.7654013156891
ESP	96.2045417308807
EST	100.501826095581
ETH	68.8381144205729
FIN	100.931632207235
FJI	82.7451317342122
FLK	88.9432978439331
FRA	98.0
FRO	97.4940494855245
GAB	77.6288842773438
GBR	99.3175371170044
GEO	84.8908419799805
GGY	99.3175371170044
GHA	66.657239718967
GIN	71.3833028157552
GLP	72.9936918004354
GMB	63.695892062717
GNB	65.31
GNQ	65.31
GRC	93.3927013397217
GRD	75.3504618835449
GRL	91.3166666666667
GTM	77.9587961578369
GUF	82.268598429362
GUM	91.3171076838175
GUY	75.6507952880859
HKG	104.963901290894
HND	80.8766931152344
HRV	96.3290277099609
HTI	68.8688435872396
HUN	97.9233501561483
IDN	83.5337868595123
IMN	99.3175371170044
IND	78.4616666666667
IRL	97.2
IRN	84.9765872701009
IRQ	85.0497082519531
ISL	97.788098971049
ISR	94.3813948440552
ITA	96.7843620586395
JAM	73.0955499267578
JEY	99.3175371170044
JOR	85.1988042449951
JPN	104.194309806824
KAZ	87.1717846806844
KEN	77.8747400919596
KGZ	80.9012172444661
KHM	84.0684896850586
KIR	81.2117654418946
KNA	81.8430863952637
KOR	104.342035884857
KSV	76.74
KWT	82.7874713812934
LAO	85.6720464409722
LBN	83.4146492343479
LBR	67.7847970581055
LBY	82.35
LCA	68.4654607137044
LIE	99.54
LKA	80.5777777777778
LSO	72.6866458892823
LTU	94.9311241531372
LUX	96.954591293335
LVA	96.6370022773743
MAC	100.484703979492
MAR	77.4036509895325
MCO	99.1579296048482
MDA	88.05513671875
MDG	80.1164796447754
MDV	77.83
MEX	86.4450396633148
MHL	81.62052863227
MKD	83.4003749847412
MLI	67.5336657714844
MLT	93.9373617299398
MMR	83.6290643310547
MNE	86.5930207061767
MNG	93.3803113810221
MNP	80.51
MOZ	74.7097863769531
MRT	73.4621783447265
MSR	78.9920788192749
MTQ	69.989747732657
MUS	88.9560544331869
MWI	64.5049772644043
MYS	89.9880935955048
MYT	77.212345767551
NAM	71.6163658650716
NCL	84.2
NER	66.8136120605469
NFK	81.3613861762153
NGA	72.1405547417535
NIC	77.6713482666016
NIU	83.2639237467448
NLD	100.276307347616
NOR	97.7756602223714
NPL	75.3723908148872
NRU	73.5294503784179
NZL	99.2843511454264
OMN	83.3703410508898
PAK	81.4176092529297
PAN	80.2214785766602
PCN	84.9483827209473
PER	82.7104453849793
PHL	81.9954203796387
PLW	89.2470132446289
PNG	80.1604039510091
POL	97.3360656166077
PRI	84.21
PRK	99.89
PRT	94.4303746128082
PRY	81.5552691650391
PSE	82.944462483724
PYF	84.9483827209473
QAT	82.2290347925822
REU	84.5362670389811
ROU	90.0693926429749
RUS	97.2065282313029
RWA	75.3477994791667
SAU	80.0027385807037
SDN	77.2963037109375
SEN	74.3440685017904
SGP	106.086274236043
SGS	87.0121659326553
SHN	83.05
SLB	77.595339050293
SLE	64.0761321343316
SLV	79.9310267130534
SMR	98.77
SOM	68.055
SPM	94.068778307173
SRB	90.9118725713094
SSD	68.9658288574219
STP	63.22
SUR	88.685
SVK	96.9306480916341
SVN	97.9203367869059
SWE	98.7797674179077
SWZ	81.1902303695679
SXM	81.8430863952637
SYC	84.3242123413086
SYR	79.0733333333333
TCA	77.0832690090603
TCD	68.1550936889648
TGO	72.7266264724731
THA	88.5154130649567
TJK	84.3384650675456
TKM	81.88
TLS	79.5256797409058
TON	83.1246180216471
TTO	88.1213134765625
TUN	83.6582064819336
TUR	88.4495255088806
TWN	104.018333333333
TZA	74.5117814127604
UGA	72.2247507222494
UKR	93.0653945159912
URY	89.3410835266113
USA	97.6895334720612
UZB	84.8528175354004
VAT	97.3921810293198
VCT	71.6574701266819
VEN	82.47
VNM	93.4887106132507
VUT	77.1390267944336
WLF	83.2639237467448
WSM	83.4032294718425
YEM	73.7828228081597
ZAF	71.5701764424642
ZMB	72.3933024597168
ZWE	73.959519788954
