ISO_A3	QNW+SAS+GEO
AFG	82.14290790986576
ALB	82.82028318963907
DZA	75.9977255182966
AND	96.4030642394078
AGO	75.1
ATG	70.44349231854152
ARG	87.46316180009295
ARM	88.81870321099198
AUS	99.19856306611274
AUT	99.76525160283995
AZE	84.88666966815886
BHS	86.94749659863945
BHR	83.60100933649022
BGD	74.35863487851384
BRB	91.6876385076751
BLR	98.39933401571972
BEL	98.27021911016558
BLZ	62.548239971933114
BEN	70.35899155794769
BMU	93.19469974715551
BTN	87.35018575755296
BOL	77.34942307692307
BIH	88.05731899737054
BWA	69.44598733204616
BRA	83.48832937018817
BRN	87.60851140450015
BGR	91.00755203306545
BFA	73.79999999999997
BDI	72.16232152577925
CPV	60.0
KHM	99.73442485006788
CMR	67.82970081398378
CAN	99.61769520836125
CYM	82.26100417617803
CAF	63.579074270974736
TCD	77.95458516472871
CHL	87.95281371764987
CHN	102.83677451852913
COL	83.02690308140578
COM	77.00920972497077
COD	65.67152085008358
COG	62.9662764
COK	83.96000000000001
CRI	88.26169675776765
CIV	60.83531464195182
HRV	94.8337909233297
CUB	83.78146046620671
CYP	93.36073668084691
CZE	99.22028697625478
DNK	98.25388036262186
DJI	60.0
DMA	66.02348118490521
DOM	81.78893070935743
ECU	78.23546038122689
EGY	76.30673359087238
SLV	69.63380001715281
GNQ	
ERI	68.59808707745246
EST	101.11487069336215
ETH	68.55958337731356
FJI	83.96000000000001
FIN	100.65508293782332
FRA	99.13062191415894
GAB	62.9662764
GMB	60.00000000000001
PSE	76.27298436233795
DEU	100.61109371385746
GEO	84.43035475321595
GHA	60.83531464195181
GRC	91.51443277435274
GRL	94.68
GRD	79.38877806850768
GTM	61.29494247598246
GIN	60.0
GNB	
GUY	83.3263538462026
HTI	88.60079139588072
HND	62.15840503169477
HKG	105.35324705484962
HUN	99.30500680262472
ISL	98.22544986320516
IND	76.1406215102303
IDN	78.7937589429188
IRN	80.00371563382433
IRQ	89.81242835390111
IRL	95.21033910238955
ISR	92.51484705028778
ITA	93.97126914322641
JAM	75.16611707949694
JPN	106.38721239935813
JOR	80.76668761701356
KAZ	88.76510342421327
KEN	75.22246843674809
KIR	83.96000000000001
PRK	102.7526689906257
KOR	102.63886903120816
KWT	78.61976969736799
KGZ	79.09271249509324
LAO	80.12453168685927
LVA	94.81763756480103
LBN	81.71063051027873
LSO	69.79818526640575
LBR	59.999999999999986
LBY	79.83051841404959
LIE	101.07357982825421
LTU	96.04653778210559
LUX	99.90266040935163
MAC	100.13903801110811
MKD	82.50572307777773
MDG	77.04060714348303
MWI	69.70399301086897
MYS	88.79130923615884
MDV	80.50624395393496
MLI	60.00000000000001
MLT	91.26803677120819
MNP	81.89246166872822
MHL	83.96000000000001
MRT	60.000000000000014
MUS	86.56058635394457
MEX	87.83543498283044
FSM	83.96000000000001
MDA	90.19961123645778
MNG	91.02617619665793
MNE	86.11290602124548
MAR	69.26797459647284
MOZ	72.45300961485687
MMR	90.79690277514848
NAM	66.19438314685002
NPL	60.0
NLD	100.76391598509541
ANT	80.01445279999999
NCL	94.15957621545607
NZL	99.32016558025546
NIC	60.21673129053289
NER	70.86518010034624
NGA	67.82970081398378
NOR	98.51977899491884
OMN	78.94059175382392
PAK	80.04897108727721
PAN	78.81547867569434
PNG	78.7937589429188
PRY	84.65647210730103
PER	82.09669435040806
PHL	82.92362606326583
POL	96.37637751456055
PRT	92.7902999759507
PRI	81.88613175763781
QAT	80.97811633969334
ROU	86.90564906267556
RUS	97.93377547154279
RWA	70.22754664945913
SHN	68.98863466564454
KNA.	70.44349231854152
LCA	73.7106612352206
VCT	63.4208640130815
WSM	83.96000000000001
STP	65.48916602135579
SAU	77.79257611451965
SEN	60.000000000000014
SRB	89.7055641075155
SYC	78.75999999999999
SLE	59.99999999999999
SGP	106.17427290427199
SVK	96.28279426727521
SVN	98.7002489200479
SLB	83.96000000000001
SOM	67.67491892113637
ZAF	69.79818526640575
SSD	60.114141404905396
ESP	94.02186309478378
LKA	86.61811035157457
SDN	77.95458516472871
SUR	91.60888460309923
SWZ	69.79818526640575
SWE	97.763229942089
CHE	99.335968817219
SYR	74.41006143222774
TWN	106.58791049336799
TJK	87.71476303333336
TZA	74.76304981009875
THA	89.09265358443757
TLS	78.7937589429188
TGO	65.03653137291863
TON	83.96000000000001
TTO	85.62754548983699
TUN	79.2210365316352
TUR	87.1440867237034
TKM	85.49227084980328
TCA	84.20502960749467
UGA	76.47705422914173
UKR	90.61780447641814
ARE	82.03602627047022
GBR	99.66185472324818
USA	97.50435606523484
URY	87.60702726327536
UZB	89.00641551681042
VUT	94.15957621545607
VEN	83.05783168476643
VNM	89.60830895024351
VGB	76.56618121730016
YEM	66.11459192549623
ZMB	68.84231119288428
ZWE	74.0062144
